,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
0,1989,ANDHRA PRADESH,SRIKAKULAM,INC,47.7
1,1989,ANDHRA PRADESH,SRIKAKULAM,TDP,39.41
2,1989,ANDHRA PRADESH,SRIKAKULAM,IND,10.81
3,1989,ANDHRA PRADESH,SRIKAKULAM,IND,2.08
4,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),INC,51.55
5,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),ICS(SCS),43.81
6,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,3.11
7,1989,ANDHRA PRADESH,PARVATHIPURAM (ST),IND,1.54
8,1989,ANDHRA PRADESH,BOBBILI,TDP,53.27
9,1989,ANDHRA PRADESH,BOBBILI,INC,46.73
10,1989,ANDHRA PRADESH,VISAKHAPATNAM,INC,50.31
11,1989,ANDHRA PRADESH,VISAKHAPATNAM,TDP,46.63
12,1989,ANDHRA PRADESH,VISAKHAPATNAM,BSP,1.05
13,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,1.05
14,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.61
15,1989,ANDHRA PRADESH,VISAKHAPATNAM,IND,0.35
16,1989,ANDHRA PRADESH,BHADRACHALAM (ST),INC,48.58
17,1989,ANDHRA PRADESH,BHADRACHALAM (ST),CPI,44.28
18,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,4.79
19,1989,ANDHRA PRADESH,BHADRACHALAM (ST),IND,2.36
20,1989,ANDHRA PRADESH,ANAKAPALLI,INC,47.21
21,1989,ANDHRA PRADESH,ANAKAPALLI,TDP,47.21
22,1989,ANDHRA PRADESH,ANAKAPALLI,IND,5.59
23,1989,ANDHRA PRADESH,KAKINADA,INC,54.45
24,1989,ANDHRA PRADESH,KAKINADA,TDP,42.67
25,1989,ANDHRA PRADESH,KAKINADA,IND,1.67
26,1989,ANDHRA PRADESH,KAKINADA,BSP,1.21
27,1989,ANDHRA PRADESH,RAJAHMUNDRY,INC,53.63
28,1989,ANDHRA PRADESH,RAJAHMUNDRY,TDP,45.53
29,1989,ANDHRA PRADESH,RAJAHMUNDRY,(JP),0.34
30,1989,ANDHRA PRADESH,RAJAHMUNDRY,IND,0.27
31,1989,ANDHRA PRADESH,RAJAHMUNDRY,BSP,0.23
32,1989,ANDHRA PRADESH,AMALAPURAM (SC),INC,53.68
33,1989,ANDHRA PRADESH,AMALAPURAM (SC),TDP,45.02
34,1989,ANDHRA PRADESH,AMALAPURAM (SC),BSP,0.73
35,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.44
36,1989,ANDHRA PRADESH,AMALAPURAM (SC),IND,0.13
37,1989,ANDHRA PRADESH,NARASAPUR,TDP,50.31
38,1989,ANDHRA PRADESH,NARASAPUR,INC,48.23
39,1989,ANDHRA PRADESH,NARASAPUR,IND,0.5
40,1989,ANDHRA PRADESH,NARASAPUR,IND,0.46
41,1989,ANDHRA PRADESH,NARASAPUR,(JP),0.31
42,1989,ANDHRA PRADESH,NARASAPUR,IND,0.19
43,1989,ANDHRA PRADESH,ELURU,INC,54.36
44,1989,ANDHRA PRADESH,ELURU,TDP,44.91
45,1989,ANDHRA PRADESH,ELURU,IND,0.29
46,1989,ANDHRA PRADESH,ELURU,IND,0.26
47,1989,ANDHRA PRADESH,ELURU,IND,0.18
48,1989,ANDHRA PRADESH,MACHILIPATNAM,INC,52.06
49,1989,ANDHRA PRADESH,MACHILIPATNAM,TDP,45.67
50,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,1.16
51,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.3
52,1989,ANDHRA PRADESH,MACHILIPATNAM,BSP,0.24
53,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.2
54,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.19
55,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.11
56,1989,ANDHRA PRADESH,MACHILIPATNAM,IND,0.06
57,1989,ANDHRA PRADESH,VIJAYAWADA,INC,52.69
58,1989,ANDHRA PRADESH,VIJAYAWADA,TDP,45.46
59,1989,ANDHRA PRADESH,VIJAYAWADA,BSP,0.6
60,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.42
61,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.18
62,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.18
63,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.14
64,1989,ANDHRA PRADESH,VIJAYAWADA,VJS,0.14
65,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.12
66,1989,ANDHRA PRADESH,VIJAYAWADA,IND,0.08
67,1989,ANDHRA PRADESH,TENALI,INC,54.6
68,1989,ANDHRA PRADESH,TENALI,TDP,44.44
69,1989,ANDHRA PRADESH,TENALI,RPK,0.4
70,1989,ANDHRA PRADESH,TENALI,IND,0.29
71,1989,ANDHRA PRADESH,TENALI,IND,0.27
72,1989,ANDHRA PRADESH,GUNTUR,INC,53.95
73,1989,ANDHRA PRADESH,GUNTUR,TDP,45.28
74,1989,ANDHRA PRADESH,GUNTUR,(JP),0.25
75,1989,ANDHRA PRADESH,GUNTUR,IND,0.22
76,1989,ANDHRA PRADESH,GUNTUR,IND,0.16
77,1989,ANDHRA PRADESH,GUNTUR,IND,0.13
78,1989,ANDHRA PRADESH,BAPATLA,INC,52.15
79,1989,ANDHRA PRADESH,BAPATLA,BJP,45.9
80,1989,ANDHRA PRADESH,BAPATLA,IND,1.1
81,1989,ANDHRA PRADESH,BAPATLA,IND,0.48
82,1989,ANDHRA PRADESH,BAPATLA,IND,0.37
83,1989,ANDHRA PRADESH,NARASARAOPET,INC,53.26
84,1989,ANDHRA PRADESH,NARASARAOPET,TDP,44.56
85,1989,ANDHRA PRADESH,NARASARAOPET,BSP,0.5
86,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.45
87,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.28
88,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.28
89,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.25
90,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.17
91,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.14
92,1989,ANDHRA PRADESH,NARASARAOPET,IND,0.11
93,1989,ANDHRA PRADESH,ONGOLE,INC,56.07
94,1989,ANDHRA PRADESH,ONGOLE,TDP,42.29
95,1989,ANDHRA PRADESH,ONGOLE,IND,0.57
96,1989,ANDHRA PRADESH,ONGOLE,IND,0.39
97,1989,ANDHRA PRADESH,ONGOLE,IND,0.37
98,1989,ANDHRA PRADESH,ONGOLE,IND,0.2
99,1989,ANDHRA PRADESH,ONGOLE,IND,0.12
100,1989,ANDHRA PRADESH,NELLORE (SC),INC,52.83
101,1989,ANDHRA PRADESH,NELLORE (SC),TDP,42.78
102,1989,ANDHRA PRADESH,NELLORE (SC),IND,2.44
103,1989,ANDHRA PRADESH,NELLORE (SC),BSP,0.6
104,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.38
105,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.32
106,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.29
107,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.28
108,1989,ANDHRA PRADESH,NELLORE (SC),IND,0.09
109,1989,ANDHRA PRADESH,TIRUPATHI (SC),INC,54.36
110,1989,ANDHRA PRADESH,TIRUPATHI (SC),TDP,44.66
111,1989,ANDHRA PRADESH,TIRUPATHI (SC),BSP,0.32
112,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.23
113,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.22
114,1989,ANDHRA PRADESH,TIRUPATHI (SC),IND,0.21
115,1989,ANDHRA PRADESH,CHITTOOR,INC,54.83
116,1989,ANDHRA PRADESH,CHITTOOR,TDP,43.25
117,1989,ANDHRA PRADESH,CHITTOOR,BSP,0.61
118,1989,ANDHRA PRADESH,CHITTOOR,IND,0.37
119,1989,ANDHRA PRADESH,CHITTOOR,IND,0.34
120,1989,ANDHRA PRADESH,CHITTOOR,IND,0.23
121,1989,ANDHRA PRADESH,CHITTOOR,IND,0.21
122,1989,ANDHRA PRADESH,CHITTOOR,IND,0.15
123,1989,ANDHRA PRADESH,RAJAMPET,INC,51.93
124,1989,ANDHRA PRADESH,RAJAMPET,TDP,46.07
125,1989,ANDHRA PRADESH,RAJAMPET,IND,0.96
126,1989,ANDHRA PRADESH,RAJAMPET,(JP),0.65
127,1989,ANDHRA PRADESH,RAJAMPET,IND,0.26
128,1989,ANDHRA PRADESH,RAJAMPET,IND,0.14
129,1989,ANDHRA PRADESH,CUDDAPAH,INC,60.16
